"file_moved","original_repo","original_path","destination_path","timestamp_utc","bucket"
"COMPLIANCE.backup_20251112_121141.csv","credentialmate-ai","governance\orchestration\COMPLIANCE.backup_20251112_121141.csv","deletion\credentialmate-ai\governance\orchestration\COMPLIANCE.backup_20251112_121141.csv","2025-11-20T19:26:06Z","deletion"
"COMPLIANCE.backup_20251112_121143.csv","credentialmate-ai","governance\orchestration\COMPLIANCE.backup_20251112_121143.csv","deletion\credentialmate-ai\governance\orchestration\COMPLIANCE.backup_20251112_121143.csv","2025-11-20T19:26:06Z","deletion"
"COMPLIANCE.backup_20251112_121146.csv","credentialmate-ai","governance\orchestration\COMPLIANCE.backup_20251112_121146.csv","deletion\credentialmate-ai\governance\orchestration\COMPLIANCE.backup_20251112_121146.csv","2025-11-20T19:26:06Z","deletion"
"METRICS_HISTORY.backup_20251112_131710.csv","credentialmate-ai","governance\orchestration\METRICS_HISTORY.backup_20251112_131710.csv","deletion\credentialmate-ai\governance\orchestration\METRICS_HISTORY.backup_20251112_131710.csv","2025-11-20T19:26:06Z","deletion"
"METRICS_HISTORY.backup_20251112_193016.csv","credentialmate-ai","governance\orchestration\METRICS_HISTORY.backup_20251112_193016.csv","deletion\credentialmate-ai\governance\orchestration\METRICS_HISTORY.backup_20251112_193016.csv","2025-11-20T19:26:06Z","deletion"
"METRICS_HISTORY.backup_20251112_195918.csv","credentialmate-ai","governance\orchestration\METRICS_HISTORY.backup_20251112_195918.csv","deletion\credentialmate-ai\governance\orchestration\METRICS_HISTORY.backup_20251112_195918.csv","2025-11-20T19:26:06Z","deletion"
"METRICS_HISTORY.backup_20251112_204039.csv","credentialmate-ai","governance\orchestration\METRICS_HISTORY.backup_20251112_204039.csv","deletion\credentialmate-ai\governance\orchestration\METRICS_HISTORY.backup_20251112_204039.csv","2025-11-20T19:26:06Z","deletion"
"METRICS_HISTORY.backup_20251112_215602.csv","credentialmate-ai","governance\orchestration\METRICS_HISTORY.backup_20251112_215602.csv","deletion\credentialmate-ai\governance\orchestration\METRICS_HISTORY.backup_20251112_215602.csv","2025-11-20T19:26:06Z","deletion"
"METRICS_HISTORY.backup_20251112_221300.csv","credentialmate-ai","governance\orchestration\METRICS_HISTORY.backup_20251112_221300.csv","deletion\credentialmate-ai\governance\orchestration\METRICS_HISTORY.backup_20251112_221300.csv","2025-11-20T19:26:06Z","deletion"
"METRICS_HISTORY.backup_20251112_222222.csv","credentialmate-ai","governance\orchestration\METRICS_HISTORY.backup_20251112_222222.csv","deletion\credentialmate-ai\governance\orchestration\METRICS_HISTORY.backup_20251112_222222.csv","2025-11-20T19:26:06Z","deletion"
"METRICS_HISTORY.backup_20251113_033220.csv","credentialmate-ai","governance\orchestration\METRICS_HISTORY.backup_20251113_033220.csv","deletion\credentialmate-ai\governance\orchestration\METRICS_HISTORY.backup_20251113_033220.csv","2025-11-20T19:26:06Z","deletion"
